Low Demand,,,,,,
Utilization ,Number of Employees,Minutes,Labor cost ,Waiting cost,Total cost,USD
91%,11,41,"LBP 178,241","LBP 48,294","LBP 226,535",$7.68
83%,12,13,"LBP 194,444","LBP 15,908","LBP 210,353",$7.13
77%,13,6,"LBP 210,648","LBP 6,732","LBP 217,381",$7.37
71%,14,3,"LBP 226,852","LBP 3,082","LBP 229,934",$7.79
67%,15,1,"LBP 243,056","LBP 1,445","LBP 244,500",$8.29
,,,,,,
,,,,,,
Medium Demand,,,,,,
Utilization ,Number of Employees,Minutes,Labor cost ,Waiting cost,Total cost,USD
92%,13,42,"LBP 210,648","LBP 59,845","LBP 270,493",$9.17
86%,14,14,"LBP 226,852","LBP 20,463","LBP 247,315",$8.38
80%,15,6,"LBP 243,056","LBP 9,039","LBP 252,095",$8.55
75%,16,3,"LBP 259,259","LBP 4,345","LBP 263,604",$8.94
71%,17,2,"LBP 275,463","LBP 2,152","LBP 277,615",$9.41
,,,,,,
,,,,,,
,,,,,,
High Demand,,,,,,
Utilization ,Number of Employees,Minutes,Labor cost ,Waiting cost,Total cost,USD
94%,16,44,"LBP 259,259","LBP 77,534","LBP 336,793",$11.42
88%,17,16,"LBP 275,463","LBP 27,626","LBP 303,089",$10.27
83%,18,7,"LBP 291,667","LBP 12,791","LBP 304,458",$10.32
79%,19,4,"LBP 307,870","LBP 6,484","LBP 314,354",$10.66
0.75,20,2,"LBP 324,074","LBP 3,408","LBP 327,482",$11.10
,,,,,,
