Time to Deploy in Min,Count
0,0
1,16
2,66
3,159
4,232
5,550
6,828
7,924
8,1424
9,1566
10,1880
11,2321
12,2820
13,3380
14,3766
15,4395
16,4192
17,5287
18,5886
19,6270
20,6120
21,6951
22,7106
23,7751
24,8856
25,8375
26,10244
27,9747
28,10836
29,11774
30,10260
31,11532
32,12608
33,13101
34,13090
35,14525
36,14868
37,14985
38,15162
39,16341
40,15760
41,16933
42,17052
43,17673
44,19624
45,18675
46,19826
47,20163
48,19872
49,20041
50,17650
51,21318
52,21164
53,21518
54,20898
55,22385
56,23296
57,22629
58,22040
59,24957
60,22920
61,24339
62,24180
63,20286
64,20608
65,21450
66,21054
67,17286
68,17544
69,15387
70,15820
71,14200
72,13392
73,10585
74,11470
75,10875
76,10032
77,10087
78,7800
79,7584
80,7840
81,6318
82,6724
83,5063
84,5376
85,4675
86,4988
87,4176
88,4224
89,4806
90,3510
91,4823
92,3404
93,2139
94,2820
95,1995
96,3072
97,3007
98,3234
99,2574
100,2900
101,2323
102,2652
103,2472
104,2704
105,1785
106,2226
107,2354
108,1836
109,1308
110,1210
111,1443
112,1904
113,1582
114,1026
115,805
116,1392
117,2457
118,1062
119,833
120,720
121,1452
122,854
123,861
124,992
125,250
126,1008
127,1016
128,1152
129,1419
130,1300
131,786
132,1056
133,1197
134,938
135,810
136,816
137,822
138,690
139,973
140,980
142,568
143,572
144,144
145,725
146,876
147,441
148,592
149,447
150,1200
151,151
152,760
153,612
154,462
155,620
156,936
157,471
158,790
159,477
160,480
161,483
